# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	389086
#@/user_id	mac
a 	啊	c=2090 d=6.0343 t=389086
gong ji li 	攻击力	c=1 d=0 t=389086
gong ji xing 	攻击性	c=1 d=3.58762e-88 t=389086
gong ju 	工具	c=82 d=7.19834e-10 t=389086
gong kai 	公开	c=1 d=3.92564e-206 t=389086
gong li 	公里	c=1 d=9.1223e-126 t=389086
gong ling 	工龄	c=2 d=4.6313e-92 t=389086
gong lue 	攻略	c=1 d=4.23842e-108 t=389086
gong neng 	功能	c=260 d=0.752022 t=389086
gong niu 	公牛	c=1 d=3.55494e-98 t=389086
gong ping 	公平	c=0 d=1.40391e-198 t=389086
gong shang 	工商	c=2 d=3.97304e-112 t=389086
gong shi 	公式	c=3 d=2.27494e-258 t=389086
gong shi 	工时	c=14 d=1.68748e-38 t=389086
gong si 	公司	c=212 d=0.458406 t=389086
gong tong 	共同	c=2 d=3.89001e-187 t=389086
gong tong 	共通	c=1 d=6.89918e-134 t=389086
gong wang 	公网	c=20 d=1.2639e-82 t=389086
gong wei 	工位	c=13 d=1.18285e-05 t=389086
gong wu 	公务	c=1 d=5.78739e-08 t=389086
gong wu yuan 	公务员	c=12 d=8.77299e-196 t=389086
gong xian 	贡献	c=1 d=2.23331e-276 t=389086
gong xiang 	共享	c=16 d=0.00447164 t=389086
gong xin li 	公信力	c=1 d=2.08222e-11 t=389086
gong xing 	共性	c=3 d=1.30807e-218 t=389086
gong yi 	公益	c=1 d=1.34598e-260 t=389086
gong yong 	公用	c=15 d=1.30139e-11 t=389086
gong yong 	共用	c=1 d=1.04607e-118 t=389086
gong yu 	公寓	c=6 d=4.92238e-65 t=389086
gong zai 	公仔	c=2 d=4.12189e-301 t=389086
gong zhong 	公众	c=1 d=1.11405e-94 t=389086
gong zhong hao 	公众号	c=7 d=1.22886e-198 t=389086
gong zhu 	公主	c=1 d=0.000169103 t=389086
gong zi 	公子	c=1 d=9.97532e-207 t=389086
gong zi 	工资	c=76 d=0.000151591 t=389086
gong zuo 	工作	c=77 d=6.39714e-10 t=389086
gong zuo liang 	工作量	c=29 d=2.20985e-05 t=389086
gong zuo liu 	工作流	c=5 d=4.54298e-189 t=389086
gong zuo qu 	工作区	c=1 d=3.96307e-200 t=389086
gong zuo ri 	工作日	c=2 d=0.826959 t=389086
gou 	勾	c=4 d=3.72732e-155 t=389086
gou 	够	c=37 d=6.69706e-39 t=389086
gou 	沟	c=2 d=1.03471e-166 t=389086
gou 	狗	c=126 d=0.0429241 t=389086
gou 	苟	c=6 d=6.94433e-05 t=389086
gou ba 	狗吧	c=1 d=4.75709e-172 t=389086
gou bu gou 	够不够	c=1 d=1.70443e-38 t=389086
gou gou 	狗狗	c=3 d=6.34535e-32 t=389086
gou ji tiao qiang 	狗急跳墙	c=1 d=2.46287e-45 t=389086
gou jian 	构建	c=11 d=1.71088e-53 t=389086
gou mai 	购买	c=3 d=1.5853e-52 t=389086
gou ri 	狗日	c=2 d=0 t=389086
gou shi 	狗屎	c=8 d=6.64428e-121 t=389086
gou tong 	沟通	c=7 d=1.79214e-187 t=389086
gou yong 	够用	c=17 d=0.211189 t=389086
gou zao 	构造	c=44 d=7.43091e-37 t=389086
gu 	古	c=1 d=1.0647e-61 t=389086
gu 	固	c=1 d=3.39208e-252 t=389086
gu 	故	c=36 d=3.62966e-07 t=389086
gu 	股	c=7 d=1.40477e-116 t=389086
gu ding 	固定	c=82 d=0.0315873 t=389086
gu dong 	古董	c=4 d=9.90933e-129 t=389086
gu ge 	谷歌	c=49 d=0.018043 t=389086
gu gua en 	古挂嗯	c=1 d=0 t=389086
gu hui he 	骨灰盒	c=1 d=0 t=389086
gu ji 	估计	c=319 d=0.979513 t=389086
gu ji chang 	股机场	c=1 d=0 t=389086
gu ji shi 	估计是	c=1 d=1.17592e-171 t=389086
gu ji yao 	估计要	c=1 d=3.79938e-145 t=389086
gu jian 	固件	c=4 d=8.58195e-251 t=389086
gu ke 	顾客	c=1 d=2.16353e-138 t=389086
gu lao 	古老	c=1 d=0 t=389086
gu lu 	咕噜	c=0 d=3.39123e-15 t=389086
gu piao 	股票	c=44 d=1.61619e-89 t=389086
gu shen 	股神	c=1 d=1.13027e-117 t=389086
gu shi 	故事	c=5 d=0.00109172 t=389086
gu shi 	股市	c=1 d=1.40698e-252 t=389086
gu tai 	固态	c=6 d=4.22737e-131 t=389086
gu tou 	骨头	c=1 d=9.23783e-127 t=389086
gu yi 	故意	c=5 d=0.000907334 t=389086
gu zhang 	故障	c=2 d=2.2649e-206 t=389086
gua 	刮	c=4 d=1.75607e-23 t=389086
gua 	挂	c=52 d=3.88812e-05 t=389086
gua 	瓜	c=1 d=2.29373e-149 t=389086
gua cuo 	挂错	c=1 d=9.4746e-160 t=389086
gua diao 	挂掉	c=1 d=1.05809e-76 t=389086
gua ji 	挂机	c=1 d=1.18386e-15 t=389086
gua kao 	挂靠	c=1 d=0 t=389086
gua qi 	挂起	c=3 d=8.44534e-160 t=389086
gua ren 	寡人	c=1 d=2.62118e-307 t=389086
gua zai 	挂载	c=1 d=0 t=389086
gua zhe 	挂着	c=4 d=3.00312e-104 t=389086
gua zi 	瓜子	c=1 d=2.61019e-52 t=389086
guai 	乖	c=1 d=5.74017e-88 t=389086
guai 	怪	c=72 d=0.993573 t=389086
guai bao bao 	乖宝宝	c=1 d=3.25142e-195 t=389086
guai bu de 	怪不得	c=18 d=2.24501e-73 t=389086
guai lie 	怪列	c=2 d=6.47485e-05 t=389086
guai shi 	怪事	c=1 d=9.35035e-93 t=389086
guan 	关	c=119 d=0.88692 t=389086
guan 	官	c=6 d=5.14678e-69 t=389086
guan 	惯	c=1 d=7.74189e-225 t=389086
guan 	管	c=90 d=0.0629761 t=389086
guan 	观	c=1 d=1.88857e-39 t=389086
guan an 	关按	c=1 d=8.87316e-65 t=389086
guan bi 	关闭	c=13 d=1.11279e-22 t=389086
guan bi lv 	关闭率	c=178 d=2.90124e-18 t=389086
guan cha 	观察	c=32 d=4.83568e-12 t=389086
guan dian 	观点	c=1 d=2.9186e-248 t=389086
guan diao 	关掉	c=20 d=0.873716 t=389086
guan fang 	官方	c=40 d=1.6632e-44 t=389086
guan gou 	管够	c=1 d=3.15574e-79 t=389086
guan guan 	灌灌	c=1 d=6.86666e-197 t=389086
guan guan zhong zi 	灌灌种子	c=1 d=6.90108e-196 t=389086
guan hao 	官号	c=1 d=6.14347e-269 t=389086
guan huai 	关怀	c=1 d=7.27091e-75 t=389086
guan ji 	关机	c=8 d=8.28492e-73 t=389086
guan jian 	关键	c=50 d=0.00014986 t=389086
guan jian ci 	关键词	c=5 d=5.16153e-132 t=389086
guan jian jian 	关键键	c=1 d=4.44938e-150 t=389086
guan jian zi 	关键字	c=1 d=3.98891e-247 t=389086
guan kan 	观看	c=1 d=0 t=389086
guan kong 	管控	c=4 d=0 t=389086
guan li 	管理	c=156 d=0.0110084 t=389086
guan li duan 	管理段	c=4 d=1.35543e-19 t=389086
guan li qi 	管理器	c=18 d=1.85539e-07 t=389086
guan li yuan 	管理员	c=11 d=1.14064e-179 t=389086
guan lian 	关联	c=42 d=0.00559684 t=389086
guan men 	关门	c=1 d=0 t=389086
guan nian 	观念	c=1 d=3.05293e-248 t=389086
guan shui 	关税	c=16 d=3.36277e-150 t=389086
guan ta 	管它	c=1 d=0 t=389086
guan tou 	罐头	c=2 d=6.6197e-228 t=389086
guan wang 	官网	c=25 d=4.77505e-40 t=389086
guan wang 	观望	c=1 d=0 t=389086
guan xi 	关系	c=105 d=0.778801 t=389086
guan xia 	管辖	c=1 d=2.37639e-95 t=389086
guan xin 	关心	c=22 d=0.000280202 t=389086
guan yu 	关于	c=2 d=0 t=389086
guan yuan 	官员	c=1 d=1.44223e-14 t=389086
guan zhu 	关注	c=61 d=0.178173 t=389086
guan zhu ren 	关注人	c=1 d=0 t=389086
guan zu 	管足	c=1 d=0 t=389086
guang 	光	c=12 d=5.56235e-12 t=389086
guang 	广	c=2 d=1.15173e-103 t=389086
guang 	逛	c=5 d=2.52393e-39 t=389086
guang biao 	光标	c=51 d=5.05669e-30 t=389086
guang bo 	广播	c=2 d=0 t=389086
guang dian 	广电	c=1 d=1.15684e-155 t=389086
guang dong 	广东	c=3 d=4.91171e-156 t=389086
guang gao 	广告	c=7 d=0.000234044 t=389086
guang gun 	光棍	c=1 d=1.50997e-289 t=389086
guang kan 	光看	c=1 d=1.13428e-188 t=389086
guang ming 	光明	c=2 d=7.21136e-184 t=389086
guang shi 	光是	c=3 d=1.27018e-137 t=389086
guang su 	光速	c=1 d=3.65573e-74 t=389086
guang tou 	光头	c=2 d=9.49743e-12 t=389086
guang xi 	广西	c=1 d=7.46616e-122 t=389086
guang ye 	广爷	c=1 d=7.02254e-166 t=389086
guang yi quan 	逛一圈	c=1 d=7.09237e-106 t=389086
guang zhou 	广州	c=14 d=2.45562e-18 t=389086
gui 	归	c=8 d=2.27059e-118 t=389086
gui 	规	c=1 d=0 t=389086
gui 	贵	c=45 d=8.74906e-17 t=389086
gui 	跪	c=28 d=1.69179e-68 t=389086
gui 	鬼	c=21 d=1.396e-34 t=389086
gui 	龟	c=3 d=6.7191e-116 t=389086
gui bi 	规避	c=1 d=1.49881e-143 t=389086
gui ding 	规定	c=9 d=1.78947e-287 t=389086
gui fan 	规范	c=18 d=0.0337087 t=389086
gui gui 	龟龟	c=2 d=7.0618e-114 t=389086
gui hua 	规划	c=4 d=7.43658e-195 t=389086
gui hua 	鬼话	c=1 d=0 t=389086
gui ji qiu 	轨迹球	c=1 d=0 t=389086
gui lai 	归来	c=3 d=2.64452e-88 t=389086
gui lv 	规律	c=5 d=1.02042e-120 t=389086
gui nan 	贵南	c=2 d=6.85615e-178 t=389086
gui nv 	闺女	c=1 d=1.41733e-15 t=389086
gui shu 	归属	c=3 d=1.26096e-22 t=389086
gui xia 	跪下	c=1 d=3.65923e-144 t=389086
gui ze 	规则	c=112 d=8.56998e-09 t=389086
gui zhong 	贵重	c=1 d=1.57727e-302 t=389086
gui zhou 	贵州	c=2 d=4.56216e-121 t=389086
gun 	滚	c=1 d=1.90562e-174 t=389086
gun dong 	滚动	c=13 d=6.70891e-11 t=389086
gun dong tiao 	滚动条	c=1 d=0 t=389086
guo 	国	c=11 d=0.0275983 t=389086
guo 	果	c=3 d=8.03919e-139 t=389086
guo 	过	c=622 d=1.23612 t=389086
guo 	锅	c=6 d=4.88594e-67 t=389086
guo chan 	国产	c=4 d=5.33752e-47 t=389086
guo cheng 	过程	c=69 d=3.28962e-06 t=389086
guo da 	过大	c=8 d=2.56565e-26 t=389086
guo de 	过得	c=3 d=7.09404e-50 t=389086
guo du 	国度	c=1 d=0 t=389086
guo duan 	过段	c=3 d=1.60993e-14 t=389086
guo duo 	过多	c=4 d=1.24735e-12 t=389086
guo fu 	国富	c=1 d=7.91597e-75 t=389086
guo gao 	过高	c=1 d=2.93529e-80 t=389086
guo hou 	过后	c=3 d=3.56802e-53 t=389086
guo ji 	国籍	c=1 d=7.65908e-128 t=389086
guo ji 	国际	c=0 d=0.0748264 t=389086
guo ji ban 	国际板	c=27 d=1.89004e-11 t=389086
guo ji fu 	国际服	c=2 d=1.55053 t=389086
guo ji tian 	过几天	c=1 d=1.98556e-275 t=389086
guo jia 	国家	c=52 d=2.79466e-05 t=389086
guo jia dui 	国家队	c=1 d=1.64387e-171 t=389086
guo jia ming 	郭家铭	c=1 d=6.83679e-86 t=389086
guo jie 	过节	c=1 d=0 t=389086
guo jing 	郭靖	c=2 d=3.23254e-264 t=389086
guo kao 	国考	c=1 d=0 t=389086
guo kuai 	过快	c=1 d=1.18092e-74 t=389086
guo lai 	过来	c=149 d=0.0746481 t=389086
guo le 	过了	c=1 d=0 t=389086
guo liang tian 	过两天	c=2 d=8.38669e-225 t=389086
guo lv 	过滤	c=472 d=0.663378 t=389086
guo me 	过么	c=1 d=1.54883e-235 t=389086
guo min 	过敏	c=5 d=3.45738e-06 t=389086
guo nei 	国内	c=17 d=3.69011e-172 t=389086
guo nei ban 	国内办	c=4 d=0 t=389086
guo nian 	过年	c=28 d=2.28085e-08 t=389086
guo o 	过哦	c=1 d=1.67604e-105 t=389086
guo qi 	国企	c=11 d=1.05058e-86 t=389086
guo qi 	过期	c=203 d=0.000117212 t=389086
guo qing 	国庆	c=4 d=2.94891e-105 t=389086
guo qu 	过去	c=37 d=7.67467e-05 t=389086
guo ran 	果然	c=21 d=0.918512 t=389086
guo ren 	国人	c=4 d=9.61413e-38 t=389086
guo ru 	果如	c=1 d=1.16986e-169 t=389086
guo sha 	过啥	c=1 d=1.55987e-201 t=389086
guo shao 	过少	c=1 d=2.59827e-292 t=389086
guo shi 	过时	c=2 d=5.33422e-215 t=389086
guo tai 	国泰	c=1 d=1.75421e-200 t=389086
guo tou 	过头	c=1 d=5.12917e-205 t=389086
guo wai 	国外	c=7 d=2.83346e-47 t=389086
guo wan 	过完	c=1 d=8.86899e-177 t=389086
guo wang 	国王	c=1 d=5.89211e-160 t=389086
guo xia 	过下	c=6 d=1.41218e-31 t=389086
guo yi bian 	过一遍	c=7 d=2.04523e-06 t=389086
guo yi xia 	过一下	c=6 d=2.16197e-12 t=389086
guo yu 	过于	c=2 d=3.57074e-297 t=389086
guo zhe 	过着	c=2 d=0 t=389086
guo zu 	国足	c=3 d=3.5875e-117 t=389086
ha 	哈	c=289 d=0.214914 t=389086
ha ha 	哈哈	c=6 d=1.69582e-96 t=389086
ha ji 	哈吉	c=2 d=0.00254463 t=389086
ha ji mi 	哈基米	c=1 d=0.00860854 t=389086
ha shuo 	哈说	c=15 d=4.51874e-38 t=389086
hai 	害	c=3 d=1.96177e-104 t=389086
hai 	海	c=2 d=1.97161e-104 t=389086
hai 	还	c=71 d=1.7931e-18 t=389086
hai ba 	还把	c=1 d=5.04299e-94 t=389086
hai bei 	还被	c=4 d=3.96683e-123 t=389086
hai bi jiao 	还比较	c=2 d=9.43407e-139 t=389086
hai bu 	还不	c=17 d=2.68794e-15 t=389086
hai bu chong tu 	还不冲突	c=1 d=1.63767e-156 t=389086
hai bu dui 	还不对	c=1 d=2.27417e-254 t=389086
hai bu gao 	还不高	c=1 d=3.00266e-141 t=389086
hai bu gui 	还不鬼	c=1 d=8.02356e-28 t=389086
hai bu ru 	还不如	c=9 d=2.43381e-23 t=389086
hai bu shang 	还不上	c=1 d=3.33838e-182 t=389086
hai bu shi 	还不是	c=1 d=0 t=389086
hai bu tai 	还不太	c=2 d=2.32841e-296 t=389086
hai bu xing 	还不行	c=7 d=2.74393e-81 t=389086
hai bu yi yang 	还不一样	c=1 d=1.90238e-154 t=389086
hai bu yong 	还不用	c=1 d=5.7644e-20 t=389086
hai bu zhi chi 	还不支持	c=1 d=7.44792e-152 t=389086
hai bu zhi dao 	还不知道	c=5 d=2.2037e-31 t=389086
hai cha 	还差	c=8 d=0.565525 t=389086
hai chao shi 	还超时	c=1 d=3.87375e-79 t=389086
hai chu 	害处	c=1 d=9.83486e-246 t=389086
hai chuan 	还穿	c=1 d=0 t=389086
hai da 	还大	c=4 d=1.06307e-43 t=389086
hai dai 	还带	c=1 d=0.0219278 t=389086
hai de 	还得	c=22 d=0.748264 t=389086
hai de shi 	还得是	c=10 d=2.99275e-14 t=389086
hai deng 	还登	c=1 d=2.22104e-270 t=389086
hai dian qu 	海淀区	c=1 d=0 t=389086
hai duo 	还多	c=2 d=1.81905e-274 t=389086
hai gan 	还敢	c=1 d=7.52972e-251 t=389086
hai hao 	还好	c=113 d=0.488829 t=389086
hai hao ba 	还好吧	c=2 d=3.32093e-91 t=389086
hai hao shi 	还好是	c=1 d=1.8724e-173 t=389086
hai hao yong 	还好用	c=1 d=1.20589e-173 t=389086
hai he 	还和	c=2 d=3.17516e-298 t=389086
hai hou 	还后	c=1 d=5.82263e-285 t=389086
hai hui 	还会	c=9 d=3.8794e-08 t=389086
hai ji de 	还记得	c=1 d=1.58863e-210 t=389086
hai jiu 	还就	c=2 d=5.87233e-238 t=389086
hai jiu shi 	还就是	c=1 d=1.06514e-154 t=389086
hai juan 	还卷	c=3 d=4.44876e-119 t=389086
hai kai 	还开	c=1 d=1.50472e-13 t=389086
hai ke yi 	还可以	c=1 d=3.19159e-153 t=389086
hai kuai 	还快	c=1 d=3.56114e-236 t=389086
hai lai de ji 	还来得及	c=1 d=1.43218e-255 t=389086
hai lu chu 	还露出	c=5 d=2.23591e-29 t=389086
hai ma 	海马	c=0 d=0 t=389086
hai ma ti 	海马体	c=1 d=0 t=389086
hai mei 	还没	c=412 d=0.123687 t=389086
hai mei dao 	还没到	c=11 d=4.7195e-20 t=389086
hai mei ding 	还没定	c=1 d=1.37578e-106 t=389086
hai mei fa 	还没发	c=4 d=1.34886e-197 t=389086
hai mei gai 	还没改	c=1 d=0 t=389086
hai mei gei 	还没给	c=1 d=0 t=389086
hai mei jia 	还没加	c=2 d=0 t=389086
hai mei kai 	还没开	c=1 d=6.2836e-299 t=389086
hai mei lai de ji 	还没来得及	c=1 d=1.94847e-24 t=389086
hai mei suan 	还没算	c=1 d=3.33544e-201 t=389086
hai mei yong 	还没用	c=1 d=0 t=389086
hai mei you 	还没有	c=6 d=6.92309e-177 t=389086
hai mei zhuang 	还没装	c=1 d=0 t=389086
hai mei zou 	还没走	c=1 d=3.29541e-206 t=389086
hai nei 	海内	c=1 d=8.96489e-274 t=389086
hai neng 	还能	c=10 d=9.35095e-36 t=389086
hai neng bu neng 	还能不能	c=1 d=2.81573e-267 t=389086
hai neng xuan 	还能选	c=1 d=9.39782e-35 t=389086
hai neng yong 	还能用	c=3 d=3.17564e-06 t=389086
hai nuo 	海诺	c=2 d=1.33411e-09 t=389086
hai pa 	害怕	c=7 d=6.62479e-39 t=389086
hai pa 	还怕	c=1 d=0 t=389086
hai pei zhi 	还配置	c=2 d=2.97256e-52 t=389086
hai qu 	还去	c=1 d=5.189e-165 t=389086
hai shai cha 	还筛查	c=2 d=2.51693e-212 t=389086
hai shao 	还少	c=1 d=3.54022e-108 t=389086
hai sheng 	还剩	c=1 d=7.85641e-45 t=389086
hai shi 	还是	c=1179 d=3.36184 t=389086
hai shi chang 	还市场	c=1 d=0 t=389086
hai shi kan 	还是看	c=1 d=9.04691e-146 t=389086
hai shi shuo 	还是说	c=8 d=7.92733e-180 t=389086
hai shi you 	还是有	c=1 d=1.87834e-269 t=389086
hai shui 	海水	c=1 d=5.56957e-86 t=389086
hai shuo 	还说	c=4 d=2.09266e-11 t=389086
hai shuo sha 	还说啥	c=1 d=0 t=389086
hai ting 	还挺	c=7 d=3.45699e-31 t=389086
hai ting hao yong 	还挺好用	c=1 d=3.08719e-291 t=389086
hai wai 	海外	c=12 d=0.273898 t=389086
hai wan 	还玩	c=1 d=3.53564e-34 t=389086
hai wang 	海王	c=2 d=3.62182e-225 t=389086
hai wei 	还未	c=2 d=3.24929e-11 t=389086
hai wen 	还问	c=1 d=0 t=389086
hai wen wo 	还问我	c=1 d=1.06354e-107 t=389086
hai xi huan 	还喜欢	c=1 d=1.92641e-184 t=389086
hai xiang 	还想	c=4 d=3.11087e-87 t=389086
hai xiao 	海啸	c=1 d=1.19098e-203 t=389086
hai xiao 	还小	c=1 d=1.19695e-203 t=389086
hai xing 	还行	c=54 d=1.22661e-05 t=389086
hai xing ba 	还行吧	c=1 d=1.35381e-05 t=389086
hai yan 	海燕	c=1 d=4.97895e-267 t=389086
hai yao 	还要	c=99 d=1.12905 t=389086
hai yao gai 	还要改	c=1 d=5.67146e-64 t=389086
hai yao jia 	还要加	c=2 d=5.35431e-181 t=389086
hai yao kan 	还要看	c=2 d=1.57213e-293 t=389086
hai yao sha 	还要啥	c=1 d=1.36437e-155 t=389086
hai yi wei 	还以为	c=3 d=1.05832e-196 t=389086
hai yong 	还用	c=7 d=5.97907e-09 t=389086
hai yong sha 	还用啥	c=1 d=0 t=389086
hai you 	还有	c=639 d=0.825102 t=389086
hai you dian 	还有点	c=9 d=3.42531e-14 t=389086
hai you ge 	还有个	c=29 d=4.05093e-17 t=389086
hai you hua 	还有话	c=1 d=2.33679e-15 t=389086
hai you jiu shi 	还有就是	c=1 d=1.46393e-72 t=389086
hai you ke 	还有可	c=1 d=2.18432e-221 t=389086
hai you mei you 	还有没有	c=1 d=0.127454 t=389086
hai you qun 	还有群	c=1 d=6.33996e-22 t=389086
hai you ren 	还有人	c=10 d=4.11075e-13 t=389086
hai you sha 	还有啥	c=17 d=4.23427e-31 t=389086
hai you yi ge 	还有一个	c=1 d=2.84064e-253 t=389086
hai you yi zhong 	还有一种	c=1 d=7.50773e-246 t=389086
hai za yong 	还咋用	c=1 d=1.99543e-157 t=389086
hai zai 	还在	c=241 d=0.0678877 t=389086
hai zai ce 	还在测	c=1 d=2.08843e-281 t=389086
hai zai kan 	还在看	c=2 d=4.31865e-299 t=389086
hai zai ne 	还在呢	c=1 d=0 t=389086
hai zai yong 	还在用	c=12 d=1.73615e-49 t=389086
hai zao 	还早	c=11 d=2.91777e-08 t=389086
hai zhen 	还真	c=13 d=3.91093e-15 t=389086
hai zhen shi 	还真是	c=2 d=5.56279e-260 t=389086
hai zhen you 	还真有	c=4 d=1.27993e-80 t=389086
hai zhi chi 	还支持	c=3 d=1.2193e-156 t=389086
hai zi 	孩子	c=2 d=1.01629e-43 t=389086
han 	含	c=1 d=1.26397e-50 t=389086
han 	喊	c=4 d=3.24763e-05 t=389086
han 	汉	c=1 d=4.95228e-292 t=389086
han 	韩	c=3 d=1.59413e-45 t=389086
han chao 	汉朝	c=1 d=1.00362e-160 t=389086
han dong 	寒冬	c=1 d=2.24367e-301 t=389086
han guo 	韩国	c=5 d=2.21739e-45 t=389086
han jia 	寒假	c=2 d=5.18304e-252 t=389086
han jie 	焊接	c=1 d=1.42759e-41 t=389086
han shu 	函数	c=161 d=2.32334e-05 t=389086
han xin 	韩信	c=3 d=2.71136e-49 t=389086
han yi 	含义	c=2 d=3.97574e-120 t=389086
han you 	含有	c=1 d=7.98854e-241 t=389086
hang 	行	c=153 d=2.06749e-08 t=389086
hang ban 	航班	c=1 d=1.74136e-143 t=389086
hang hang hang hang hang hang hen fen fen fen fen fa 	行行行行行行很分分分分发	c=1 d=0 t=389086
hang huo 	行货	c=1 d=1.86312e-144 t=389086
hang nei 	行内	c=2 d=2.52481e-190 t=389086
hang shu 	行数	c=2 d=1.54281e-13 t=389086
hang ye 	行业	c=9 d=0.00101284 t=389086
hang zhou 	杭州	c=2 d=8.10315e-144 t=389086
hao 	号	c=443 d=1.12465 t=389086
hao 	好	c=1168 d=1.01166 t=389086
hao 	耗	c=2 d=1.03309e-30 t=389086
hao an 	毫安	c=1 d=0 t=389086
hao ba 	好吧	c=144 d=8.57983e-06 t=389086
hao bi 	好比	c=1 d=2.39034e-105 t=389086
hao bian tai 	好变态	c=6 d=1.08105e-152 t=389086
hao bu dao 	好不到	c=1 d=2.86986e-197 t=389086
hao bu hao wan 	好不好玩	c=1 d=3.10578e-09 t=389086
hao cha 	好查	c=1 d=1.57416e-220 t=389086
hao chang 	好长	c=1 d=1.72914e-119 t=389086
hao cheng 	号称	c=1 d=0 t=389086
hao chou 	好丑	c=10 d=4.0391e-12 t=389086
hao chu 	好处	c=9 d=1.0057e-08 t=389086
hao chu shi 	好出是	c=1 d=0 t=389086
hao da 	好大	c=1 d=1.44855e-271 t=389086
hao dai 	好歹	c=7 d=1.02574e-93 t=389086
hao de 	好的	c=24 d=5.66645e-83 t=389086
hao dian 	好点	c=5 d=2.5859e-89 t=389086
hao dian 	耗电	c=1 d=5.78448e-149 t=389086
hao dong xi 	好东西	c=3 d=9.68011e-89 t=389086
hao dui 	好对	c=1 d=8.23008e-121 t=389086
hao duo 	好多	c=64 d=1.31765e-10 t=389086
hao duo ci 	好多次	c=4 d=9.99774e-204 t=389086
hao duo nian 	好多年	c=1 d=2.75284e-266 t=389086
hao duo ren 	好多人	c=5 d=7.66659e-22 t=389086
hao duo tai 	好多台	c=1 d=0 t=389086
hao duo tian 	好多天	c=1 d=1.24472e-46 t=389086
hao duo wan 	好多万	c=1 d=5.37348e-223 t=389086
hao fa 	好发	c=1 d=1.09243e-40 t=389086
hao gai 	好该	c=1 d=2.16833e-164 t=389086
hao gong si 	好公司	c=1 d=2.99561e-84 t=389086
hao gui 	好贵	c=2 d=1.90588e-205 t=389086
hao han 	浩瀚	c=1 d=0 t=389086
hao hao 	好好	c=12 d=6.86613e-10 t=389086
hao hao hao 	好好好	c=18 d=3.36642e-104 t=389086
hao ji 	好几	c=1 d=5.58956e-275 t=389086
hao ji 	好记	c=1 d=7.11482e-55 t=389086
hao ji bian 	好几遍	c=1 d=1.62441e-178 t=389086
hao ji ci 	好几次	c=2 d=1.7563e-214 t=389086
hao ji hui 	好机会	c=1 d=6.72862e-163 t=389086
hao ji tian 	好几天	c=2 d=2.0293e-61 t=389086
hao ji wan 	好几万	c=1 d=2.40324e-227 t=389086
hao ji zu 	好几组	c=1 d=2.52396e-186 t=389086
hao jiu 	好久	c=54 d=0.010889 t=389086
hao kan 	好看	c=29 d=0.0139561 t=389086
hao kuai 	好快	c=3 d=2.20808e-101 t=389086
hao le 	好了	c=6 d=5.16365e-275 t=389086
hao lei 	好累	c=4 d=0.000476044 t=389086
hao ma 	号码	c=22 d=3.25604e-06 t=389086
hao ma bao 	号码包	c=125 d=0.516877 t=389086
hao ma fan 	好麻烦	c=7 d=4.42234e-49 t=389086
hao man 	好慢	c=12 d=2.77001e-104 t=389086
hao mang 	好忙	c=2 d=4.37731e-105 t=389086
hao me 	好么	c=1 d=2.11443e-162 t=389086
hao meng 	好梦	c=1 d=2.46507e-173 t=389086
hao miao 	毫秒	c=31 d=2.56505e-82 t=389086
hao nan shou 	好难受	c=1 d=1.66997e-268 t=389086
hao nan yong 	好难用	c=1 d=0 t=389086
hao qi 	好奇	c=3 d=6.90785e-90 t=389086
hao qi guai 	好奇怪	c=2 d=0 t=389086
hao qi lai 	好起来	c=7 d=2.66718e-12 t=389086
hao shang shou 	好上手	c=1 d=6.91653e-46 t=389086
hao shi 	好事	c=5 d=3.89818e-06 t=389086
hao shi 	耗时	c=2 d=1.60289e-80 t=389086
hao shou 	好受	c=1 d=1.43974e-170 t=389086
hao shu 	好书	c=2 d=1.47279e-231 t=389086
hao shuang 	豪爽	c=1 d=1.77684e-145 t=389086
hao shuo 	好说	c=19 d=5.26255e-66 t=389086
hao si 	好似	c=4 d=1.67558e-43 t=389086
hao tong 	好痛	c=1 d=1.12078e-253 t=389086
hao wan 	好玩	c=5 d=3.09029e-10 t=389086
hao wen ti 	好问题	c=1 d=2.86714e-274 t=389086
hao wu liao 	好无聊	c=1 d=1.17345e-205 t=389086
hao xiang 	好像	c=396 d=1.83437e-21 t=389086
hao xiang shi 	好象是	c=6 d=7.23465e-75 t=389086
hao xiang yi dian 	好像一点	c=1 d=2.79261e-82 t=389086
hao xiao 	好笑	c=1 d=9.21025e-180 t=389086
hao xiao xi 	好消息	c=7 d=7.60453e-44 t=389086
hao xiao zi 	好小子	c=13 d=2.26334e-51 t=389086
hao xue xiao 	好学校	c=2 d=7.01328e-268 t=389086
hao yi dian 	好一点	c=5 d=4.18243e-128 t=389086
hao yi si 	好意思	c=1 d=0 t=389086
hao yong 	好用	c=95 d=1.69435 t=389086
hao yong ge 	好用个	c=1 d=2.34007e-149 t=389086
hao you 	好友	c=2 d=0 t=389086
hao zhai 	豪宅	c=2 d=1.73922e-11 t=389086
hao zhao 	好找	c=1 d=2.45061e-192 t=389086
he 	何	c=1 d=1.85635e-160 t=389086
he 	合	c=59 d=7.12664e-08 t=389086
he 	和	c=2258 d=2.88399 t=389086
he 	喝	c=23 d=0.0388895 t=389086
